episode,total_reward,rolling_avg_20
318,832.36,731.12
319,726.5,736.38
320,761.58,728.27
321,913.68,730.47
322,617.67,717.77
323,552.28,717.56
324,810.33,713.73
325,739.54,714.39
326,595.36,705.11
327,719.79,712.92
328,689.55,706.37
329,742.28,706.21
330,849.2,718.33
331,592.32,706.84
332,764.13,709.62
333,782.68,725.86
334,657.37,720.66
335,625.85,713.4
336,649.56,721.44
337,650.94,713.65
338,796.32,711.85
339,620.46,706.54
340,832.51,710.09
341,917.39,710.28
342,865.67,722.68
343,771.48,733.64
344,635.62,724.9
345,752.19,725.53
346,841.88,737.86
347,759.48,739.84
348,842.05,747.47
349,552.52,737.98
350,882.61,739.65
351,931.08,756.59
352,605.03,748.63
353,720.4,745.52
354,859.96,755.65
355,754.87,762.1
356,652.86,762.27
357,819.8,770.71
358,890.7,775.43
359,938.41,791.33
360,881.46,793.77
361,627.51,779.28
362,770.17,774.5
363,812.6,776.56
364,776.35,783.6
365,910.2,791.5
366,716.13,785.21
367,683.48,781.41
368,724.57,775.53
369,612.01,778.51
370,600.78,764.42
371,645.3,750.13
372,604.11,750.08
373,875.4,757.83
374,817.83,755.73
375,872.01,761.58
376,645.3,761.21
377,829.29,761.68
378,802.51,757.27
379,653.35,743.02
380,767.45,737.32
381,974.15,754.65
382,755.86,753.93
383,930.85,759.85
384,424.49,742.25
385,717.21,732.6
386,637.29,728.66
387,618.84,725.43
388,696.84,724.04
389,824.33,734.66
390,779.21,743.58
391,769.12,749.77
392,805.94,759.86
393,925.66,762.38
394,572.62,750.12
395,675.93,740.31
396,827.48,749.42
397,833.4,749.63
398,811.59,750.08
399,629.21,748.87
400,735.6,747.28
401,690.18,733.08
402,888.89,739.73
403,709.21,728.65
404,679.87,741.42
405,536.88,732.4
406,928.1,746.95
407,617.68,746.89
408,773.24,750.71
409,918.66,755.42
410,835.5,758.24
411,848.38,762.2
412,813.42,762.58
413,569.03,744.74
414,573.98,744.81
415,874.05,754.72
416,677.08,747.2
417,772.85,744.17
418,625.92,734.89
419,711.47,739.0
420,638.45,734.14
421,902.79,744.77
422,660.95,733.38
423,730.06,734.42
424,679.46,734.4
425,894.47,752.28
426,916.55,751.7
427,725.79,757.1
428,883.54,762.62
429,793.16,756.34
430,878.29,758.48
431,967.85,764.46
432,762.21,761.9
433,798.82,773.39
434,870.85,788.23
435,627.18,775.89
436,876.6,785.86
437,598.21,777.13
438,644.73,778.07
439,575.37,771.27
440,631.7,770.93
441,867.52,769.17
442,641.43,768.19
443,676.94,765.54
444,618.06,762.46
445,859.27,760.7
446,796.33,754.69
447,642.02,750.5
448,870.75,749.87
449,742.67,747.34
450,726.69,739.76
451,604.28,721.58
452,594.27,713.19
453,608.92,703.69
454,738.1,697.05
455,971.01,714.24
456,925.18,716.67
457,727.06,723.12
458,853.83,733.57
459,960.54,752.83
460,845.57,763.52
461,878.28,764.06
462,914.14,777.7
463,909.72,789.34
464,625.4,789.7
465,947.43,794.11
466,723.66,790.48
467,857.76,801.26
468,921.42,803.8
469,923.49,812.84
470,973.04,825.16
471,864.74,838.18
472,818.54,849.39
473,642.45,851.07
474,974.78,862.9
475,984.15,863.56
476,693.79,851.99
477,815.51,856.41
478,663.06,846.87
479,639.71,830.83
480,873.96,832.25
481,792.59,827.97
482,664.23,815.47
483,499.38,794.95
484,705.77,798.97
485,721.01,787.65
486,943.1,798.62
487,922.97,801.88
488,790.9,795.36
489,694.03,783.89
490,903.15,780.39
491,678.28,771.07
492,924.94,776.39
493,856.1,787.07
494,925.04,784.58
495,979.1,784.33
496,789.88,789.14
497,831.7,789.94
498,672.36,790.41
499,740.78,795.46
500,605.02,782.02
501,662.81,775.53
502,942.87,789.46
503,885.93,808.79
504,882.94,817.65
505,584.14,810.8
506,899.66,808.63
507,707.0,797.83
508,955.41,806.06
509,942.04,818.46
510,949.84,820.79
511,631.77,818.47
512,910.51,817.74
513,818.88,815.88
514,780.41,808.65
515,968.45,808.12
516,952.59,816.26
517,902.41,819.79
518,771.07,824.73
519,768.3,826.1
520,925.24,842.11
521,849.6,851.45
522,901.2,849.37
523,665.75,838.36
524,977.7,843.1
525,667.03,847.24
526,890.08,846.76
527,776.62,850.24
528,824.1,843.68
529,833.26,838.24
530,957.16,838.61
531,808.06,847.42
532,858.39,844.81
533,913.94,849.57
534,929.4,857.02
535,787.31,847.96
536,666.19,833.64
537,806.35,828.84
538,730.92,826.83
539,972.05,837.02
540,873.55,834.43
541,763.33,830.12
542,612.14,815.67
543,653.54,815.06
544,690.83,800.71
545,670.26,800.87
546,718.62,792.3
547,898.27,798.38
548,733.03,793.83
549,682.45,786.29
550,738.38,775.35
551,798.07,774.85
552,861.43,775.0
553,647.99,761.71
554,896.17,760.04
555,942.0,767.78
556,1000.49,784.49
557,891.85,788.77
558,625.58,783.5
559,913.07,780.55
560,958.19,784.79
561,927.91,793.01
562,911.67,807.99
563,788.94,814.76
564,817.18,821.08
565,841.52,829.64
566,679.79,827.7
567,674.7,816.52
568,877.26,823.73
569,719.25,825.57
570,771.76,827.24
571,637.39,819.21
572,634.41,807.86
573,930.87,822.0
574,757.99,815.09
575,639.81,799.98
576,751.71,787.54
577,931.26,789.51
578,917.56,804.11
579,798.25,798.37
580,989.8,799.95
581,687.78,787.94
582,857.43,785.23
583,830.4,787.31
584,746.2,783.76
585,816.78,782.52
586,760.02,786.53
587,988.79,802.24
588,903.02,803.52
589,621.26,798.62
590,842.47,802.16
591,667.36,803.66
592,855.3,814.7
593,958.05,816.06
594,822.06,819.27
595,795.37,827.04
596,834.44,831.18
597,940.17,831.62
598,749.37,823.22
599,939.2,830.26
600,714.93,816.52
601,770.12,820.64
602,781.54,816.84
603,654.33,808.04
604,897.97,815.63
605,899.78,819.78
606,986.96,831.12
607,937.12,828.54
608,755.86,821.18
609,981.59,839.2
610,964.16,845.28
611,864.28,855.13
612,855.68,855.15
613,953.38,854.92
614,899.74,858.8
615,631.45,850.6
616,694.54,843.61
617,674.5,830.33
618,881.74,836.94
619,694.73,824.72
620,989.37,838.44
621,804.12,840.14
622,869.52,844.54
623,906.07,857.13
624,636.33,844.05
625,836.86,840.9
626,976.86,840.4
627,916.04,839.34
628,669.0,835.0
629,689.23,820.38
630,921.74,818.26
631,901.38,820.11
632,888.12,821.74
633,665.35,807.33
634,973.42,811.02
635,716.84,815.29
636,969.16,829.02
637,648.28,827.71
638,805.74,823.91
639,647.9,821.57
640,943.23,819.26
641,706.28,814.37
642,957.95,818.79
643,817.04,814.34
644,735.4,819.29
645,594.27,807.16
646,876.87,802.16
647,913.31,802.02
648,856.84,811.42
649,749.62,814.44
650,910.35,813.87
651,913.32,814.46
652,680.35,804.08
653,803.68,810.99
654,948.43,809.74
655,985.59,823.18
656,684.16,808.93
657,790.96,816.06
658,714.28,811.49
659,854.97,821.84
660,932.6,821.31
661,624.06,817.2
662,863.53,812.48
663,859.64,814.61
664,961.17,825.9
665,1003.38,846.36
666,824.84,843.75
667,927.79,844.48
668,842.35,843.75
669,676.11,840.08
670,708.39,829.98
671,619.55,815.29
672,978.66,830.21
673,984.13,839.23
674,903.86,837.0
675,678.88,821.67
676,872.71,831.09
677,844.13,833.75
678,827.83,839.43
679,639.95,828.68
680,971.45,830.62
681,1008.02,849.82
682,659.26,839.61
683,643.66,828.81
684,666.42,814.07
685,708.9,799.34
686,768.32,796.52
687,750.86,787.67
688,938.05,792.46
689,792.79,798.29
690,788.06,802.27
691,914.88,817.04
692,737.27,804.97
693,757.06,793.62
694,993.68,798.11
695,956.8,812.0
696,907.97,813.77
697,868.36,814.98
698,1028.92,825.03
699,694.31,827.75
700,962.7,827.31
701,676.29,810.73
702,780.57,816.79
703,944.49,831.83
704,670.14,832.02
705,748.57,834.0
706,681.66,829.67
707,1006.89,842.47
708,963.66,843.75
709,637.69,836.0
710,702.59,831.73
711,783.79,825.17
712,690.31,822.82
713,1020.47,835.99
714,707.39,821.68
715,669.41,807.31
716,717.54,797.79
717,728.93,790.82
718,800.96,779.42
719,673.63,778.38
720,789.57,769.73
721,948.09,783.32
722,674.9,778.03
723,1006.73,781.15
724,844.2,789.85
725,801.55,792.5
726,833.62,800.1
727,780.4,788.77
728,649.39,773.06
729,830.62,782.7
730,964.0,795.77
731,961.98,804.68
732,930.29,816.68
733,681.95,799.76
734,844.98,806.64
735,969.48,821.64
736,819.37,826.73
737,595.28,820.05
738,1010.16,830.51
739,660.3,829.84
740,985.69,839.65
741,659.92,825.24
742,822.35,832.61
743,657.67,815.16
744,930.64,819.48
745,499.26,804.37
746,758.93,800.63
747,967.83,810.0
748,827.54,818.91
749,936.69,824.22
750,776.63,814.85
751,652.13,799.36
752,663.96,786.04
753,918.95,797.89
754,718.53,791.57
755,713.77,778.78
756,663.73,771.0
757,665.51,774.51
758,725.94,760.3
759,809.53,767.76
760,935.15,765.23
761,751.61,769.82
762,597.42,758.57
763,714.92,761.43
764,818.81,755.84
765,1008.56,781.31
766,727.0,779.71
767,626.26,762.63
768,928.39,767.67
769,922.88,766.98
770,1002.39,778.27
771,975.59,794.44
772,680.95,795.29
773,788.45,788.77
774,763.21,791.0
775,658.59,788.24
776,788.82,794.5
777,959.91,809.22
778,977.06,821.77
779,637.61,813.18
780,777.75,805.31
781,933.78,814.42
782,734.23,821.26
783,1038.7,837.45
784,1025.19,847.77
785,732.62,833.97
786,629.79,829.11
787,536.12,824.6
788,720.18,814.19
789,688.8,802.49
790,621.92,783.46
791,830.64,776.22
792,1001.57,792.25
793,666.33,786.14
794,970.36,796.5
795,789.79,803.06
796,874.71,807.35
797,1031.71,810.94
798,691.56,796.67
799,695.93,799.58
800,853.48,803.37
801,708.16,792.09
802,968.37,803.8
803,1009.28,802.32
804,728.04,787.47
805,947.75,798.22
806,940.48,813.76
807,826.61,828.28
808,702.33,827.39
809,1036.88,844.79
810,807.56,854.08
811,897.88,857.44
812,950.41,854.88
813,665.02,854.81
814,891.4,850.87
815,673.72,845.06
816,966.21,849.64
817,916.15,843.86
818,922.67,855.42
819,876.75,864.46
820,664.36,855.0
821,993.75,869.28
822,836.93,862.71
823,788.4,851.67
824,695.95,850.06
825,1011.77,853.26
826,906.93,851.58
827,721.06,846.31
828,942.15,858.3
829,944.44,853.68
830,906.37,858.62
831,717.51,849.6
832,897.3,846.94
833,972.34,862.31
834,652.63,850.37
835,978.67,865.62
836,681.26,851.37
837,960.27,853.58
838,971.34,856.01
