episode,total_reward,rolling_avg_20
1348,708.76,888.63
1349,831.82,884.57
1350,697.5,884.11
1351,980.72,881.46
1352,910.27,881.36
1353,984.72,878.87
1354,994.83,877.16
1355,703.27,872.52
1356,982.41,871.07
1357,772.58,861.22
1358,893.39,871.34
1359,1008.83,887.1
1360,982.72,883.85
1361,758.22,876.11
1362,1037.85,876.92
1363,696.26,876.57
1364,801.02,867.82
1365,704.93,851.54
1366,754.95,844.43
1367,644.78,842.49
1368,949.57,854.53
1369,848.32,855.36
1370,994.66,870.22
1371,925.54,867.46
1372,1051.8,874.53
1373,772.52,863.92
1374,952.23,861.79
1375,738.7,863.56
1376,825.38,855.71
1377,883.84,861.28
1378,812.25,857.22
1379,1045.63,859.06
1380,777.76,848.81
1381,691.8,845.49
1382,681.41,827.67
1383,972.48,841.48
1384,658.13,834.33
1385,1016.3,849.9
1386,645.6,844.43
1387,843.58,854.37
1388,715.33,842.66
1389,999.17,850.21
1390,746.94,837.82
1391,930.94,838.09
1392,683.0,819.65
1393,1010.02,831.52
